Remove,Entfernen
ID,ID
No,Nein
Action,Aktion
"Expiration Date","Expiration Date"
Delete,Löschen
Save,Speichern
Yes,Ja
Code,Code
Status,Status
Website,Webseite
"Please wait, loading...","Bitte warten, wird geladen…"
"End on",Verfallsdatum
Active,Aktiv
Created,Erstellungsdatum
Date,Datum
Alphanumeric,Alphanumerisch
Sent,Gesendet
"Balance Change",Guthaben-Veränderung
Balance,Guthaben
"By admin: %1.","By admin: %1."
Updated,Aktualisiert
Used,Genutzt
"Gift Card",Geschenkgutschein
"Gift Card Accounts",Geschenkgutschein-Konten
"Recipient Name","Name des Empfängers"
"Recipient Email","E-Mail des Empfängers"
"Add Gift Card Account","Geschenkgutschein-Konto hinzufügen"
"Save & Send Email","Speichern & E-Mail senden"
"Edit Gift Card Account: %1","Edit Gift Card Account: %1"
"New Gift Card Account","Neues Geschenkgutschein-Konto"
"More Information","More Information"
Information,Information
"Gift Card Code",Geschenkgutschein-Code
Redeemable,Einlösbar
"Send Gift Card","Geschenkgutschein senden"
"Send Email from the Following Store View","Send Email from the Following Store View"
"-- First Please Select a Website --","Wählen Sie zuerst bitte eine Webseite aus"
"Gift Card Account",Geschenkgutschein-Konto
History,Verlauf
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>.","Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>."
"This gift card account has been deleted.","This gift card account has been deleted."
"New Account","Neues Konto"
"Edit Gift Card Account","Geschenkgutschein-Konto bearbeiten"
"You saved the gift card account.","You saved the gift card account."
"You saved the gift card account, but an email was not sent.","You saved the gift card account, but an email was not sent."
"An email was not sent because the gift card account is not active.","An email was not sent because the gift card account is not active."
"We couldn't find a gift card account to delete.","We couldn't find a gift card account to delete."
"New code pool was generated.","Neuer Code-Pool wurde generiert."
"We were unable to generate a new code pool.","We were unable to generate a new code pool."
"Please select a gift card account(s)","Please select a gift card account(s)"
"You deleted a total of %1 records.","You deleted a total of %1 records."
"We will refund the gift card amount to your customer’s store credit","We will refund the gift card amount to your customer’s store credit"
"Please enable Store Credit to refund the gift card amount to your customer","Please enable Store Credit to refund the gift card amount to your customer"
"Please correct the gift card code.","Please correct the gift card code."
"Gift Card ""%1"" was added.","Gift Card ""%1"" was added."
"We cannot apply this gift card.","We cannot apply this gift card."
"Gift Card ""%1"" was removed.","Gift Card ""%1"" was removed."
"We cannot remove this gift card.","We cannot remove this gift card."
"You can't redeem a gift card now.","You can't redeem a gift card now."
"Gift Card ""%1"" was redeemed.","Gift Card ""%1"" was redeemed."
"We cannot redeem this gift card.","We cannot redeem this gift card."
"An expiration date must be in the future.","An expiration date must be in the future."
"The balance cannot be less than zero.","The balance cannot be less than zero."
"This gift card account is already in the quote.","Das Geschenkgutscheinkonto ist bereits im Angebot enthalten."
"Please correct the gift card account code: ""%1"".","Please correct the gift card account code: ""%1""."
"This gift card account wasn't found in the quote.","Dieses Geschenkgutscheinkonto wurde im Angebot nicht gefunden."
"Please correct the gift card account ID. Requested code: ""%1""","Please correct the gift card account ID. Requested code: ""%1"""
"Please correct the gift card account website: %1.","Please correct the gift card account website: %1."
"Gift card account %1 is not enabled.","Gift card account %1 is not enabled."
"Gift card account %1 is expired.","Gift card account %1 is expired."
"Gift card account %1 has a zero balance.","Gift card account %1 has a zero balance."
"Gift card account %1 balance is lower than the charged amount.","Gift card account %1 balance is lower than the charged amount."
Available,Verfügbar
Redeemed,Eingelöst
Expired,Verfallen
"You supplied an invalid customer ID.","You supplied an invalid customer ID."
"Gift Card Redeemed: %1. For customer #%2.","Gift Card Redeemed: %1. For customer #%2."
"Order #%1.","Order #%1."
"Recipient: %1.","Recipient: %1."
"Customer #%1.","Customer #%1."
"Please assign a gift card account.","Please assign a gift card account."
"Unknown history action.","Unbekannte Verlaufs-Tätigkeit."
"We were unable to create full code pool size. Please check settings and try again.","We were unable to create full code pool size. Please check settings and try again."
"No codes left in the pool.","Keine Codes mehr im Pool."
Alphabetical,Alphabetisch
Numeric,Numerisch
"Maximum generated code length is 255. Please correct your settings.","Die maximale generierte Code-Länge beträt 255. Bitte korrigieren Sie Ihre Einstellungen."
"Gift Cards",Geschenkgutscheine
Generate,Erzeugen
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total).","Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total)."
"Are you sure you want to continue without saving your changes?","Are you sure you want to continue without saving your changes?"
"Refund Gift Cards to Store Credit","Geschenkgutscheine auf Shopguthaben zurückvergüten"
"Add Gift Card","Geschenkgutschein hinzufügen"
"Gift Card (%1)","Gift Card (%1)"
"Enter gift card code","Gutscheincode eingeben"
"Redeem Gift Card","Geschenkgutschein einlösen"
"Check status and balance","Status und Guthaben überprüfen"
"Have a gift card? <a href=""%1"">Click here</a> to redeem it.","Have a gift card? <a href=""%1"">Click here</a> to redeem it."
"Enter the gift card code","Geschenkgutschein-Code eingeben"
"Check Gift Card status and balance","Status und Guthaben des Geschenkgutscheins überprüfen"
"Gift Card: %1","Gift Card: %1"
"Current Balance: %1","Current Balance: %1"
"Expires: %1","Expires: %1"
"Please correct the wrong or expired Gift Card Code.","Please correct the wrong or expired Gift Card Code."
"To add or remove gift cards, <a href=""%1"">click here</a>.","To add or remove gift cards, <a href=""%1"">click here</a>."
"Gift Card amount applied to order: %1","Gift Card amount applied to order: %1"
CSV,CSV
"Excel XML","Excel XML"
"Code Length","Code Length"
"Excluding prefix, suffix and separators.","Excluding prefix, suffix and separators."
"Code Format","Code Format"
"Code Prefix","Code Prefix"
"Code Suffix","Code Suffix"
"Dash Every X Characters","Dash Every X Characters"
"Email Sent from Gift Card Account Management","Email Sent from Gift Card Account Management"
"Gift Card Email Sender","Gift Card Email Sender"
"Gift Card Template","Gift Card Template"
"Gift Card Account General Settings","Gift Card Account General Settings"
"if empty no separation","if empty no separation"
"New Pool Size","New Pool Size"
"Low Code Pool Threshold","Low Code Pool Threshold"
"IMPORTANT: Be sure to save your configuration before running generation process.","IMPORTANT: Be sure to save your configuration before running generation process."
"Are you sure you want to delete these gift card accounts?","Sind Sie sicher, dass Sie diese Geschenkgutschein-Konten löschen möchten?"
