Remove,Enlever
ID,Identification
No,Non
Action,Action
"Expiration Date","Expiration Date"
Delete,Effacer
Save,Sauvegarder
Yes,Oui
Code,Code
Status,État
Website,"Site internet"
"Please wait, loading...","Veuillez patienter, en cours de chargement..."
"End on","Date d'expiration"
Active,Actif
Created,"Date créé"
Date,Date
Alphanumeric,"Alpha numérique"
Sent,Envoyée
"Balance Change","Changement du solde"
Balance,Solde
"By admin: %1.","By admin: %1."
Updated,"Mis à jour"
Used,Utilisée
"Gift Card","Carte Cadeau"
"Gift Card Accounts","Comptes Carte Cadeau"
"Recipient Name","Nom du destinataire"
"Recipient Email","Destinataire courriel"
"Add Gift Card Account","Ajouter un compte de carde cadeau"
"Save & Send Email","Sauvegarder et envoyer courriel"
"Edit Gift Card Account: %1","Edit Gift Card Account: %1"
"New Gift Card Account","Nouveau compte Carte cadeau."
"More Information","More Information"
Information,Infos
"Gift Card Code","Code Carte Cadeau"
Redeemable,Échangeable
"Send Gift Card","Envoyer carte cadeau"
"Send Email from the Following Store View","Send Email from the Following Store View"
"-- First Please Select a Website --","-- Veuillez tout d'abord sélectionner un site internet --"
"Gift Card Account","Compte Carte Cadeau"
History,Historique
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>.","Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>."
"This gift card account has been deleted.","This gift card account has been deleted."
"New Account","Nouveau compte."
"Edit Gift Card Account","Changer le compte carte cadeau"
"You saved the gift card account.","You saved the gift card account."
"You saved the gift card account, but an email was not sent.","You saved the gift card account, but an email was not sent."
"An email was not sent because the gift card account is not active.","An email was not sent because the gift card account is not active."
"We couldn't find a gift card account to delete.","We couldn't find a gift card account to delete."
"New code pool was generated.","Une nouvelle allocation de taille de code a été générée."
"We were unable to generate a new code pool.","We were unable to generate a new code pool."
"Please select a gift card account(s)","Please select a gift card account(s)"
"You deleted a total of %1 records.","You deleted a total of %1 records."
"We will refund the gift card amount to your customer’s store credit","We will refund the gift card amount to your customer’s store credit"
"Please enable Store Credit to refund the gift card amount to your customer","Please enable Store Credit to refund the gift card amount to your customer"
"Please correct the gift card code.","Please correct the gift card code."
"Gift Card ""%1"" was added.","Gift Card ""%1"" was added."
"We cannot apply this gift card.","We cannot apply this gift card."
"Gift Card ""%1"" was removed.","Gift Card ""%1"" was removed."
"We cannot remove this gift card.","We cannot remove this gift card."
"You can't redeem a gift card now.","You can't redeem a gift card now."
"Gift Card ""%1"" was redeemed.","Gift Card ""%1"" was redeemed."
"We cannot redeem this gift card.","We cannot redeem this gift card."
"An expiration date must be in the future.","An expiration date must be in the future."
"The balance cannot be less than zero.","The balance cannot be less than zero."
"This gift card account is already in the quote.","Le compte de la carte cadeau est déjà inclus dans le devis."
"Please correct the gift card account code: ""%1"".","Please correct the gift card account code: ""%1""."
"This gift card account wasn't found in the quote.","Le compte de la carte cadeau n'a pas été trouvé dans le devis."
"Please correct the gift card account ID. Requested code: ""%1""","Please correct the gift card account ID. Requested code: ""%1"""
"Please correct the gift card account website: %1.","Please correct the gift card account website: %1."
"Gift card account %1 is not enabled.","Gift card account %1 is not enabled."
"Gift card account %1 is expired.","Gift card account %1 is expired."
"Gift card account %1 has a zero balance.","Gift card account %1 has a zero balance."
"Gift card account %1 balance is lower than the charged amount.","Gift card account %1 balance is lower than the charged amount."
Available,Disponible
Redeemed,Échangée
Expired,Expirée
"You supplied an invalid customer ID.","You supplied an invalid customer ID."
"Gift Card Redeemed: %1. For customer #%2.","Gift Card Redeemed: %1. For customer #%2."
"Order #%1.","Order #%1."
"Recipient: %1.","Recipient: %1."
"Customer #%1.","Customer #%1."
"Please assign a gift card account.","Please assign a gift card account."
"Unknown history action.","Action d'historique inconnue."
"We were unable to create full code pool size. Please check settings and try again.","We were unable to create full code pool size. Please check settings and try again."
"No codes left in the pool.","Plus de codes dans l'ensemble."
Alphabetical,Alphabétique
Numeric,Numérique
"Maximum generated code length is 255. Please correct your settings.","La longueur maximum du code généré est de 255 caractères. Veuillez corriger vos paramètres."
"Gift Cards","Cartes Cadeau"
Generate,Générer
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total).","Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total)."
"Are you sure you want to continue without saving your changes?","Are you sure you want to continue without saving your changes?"
"Refund Gift Cards to Store Credit","Rembourser les cartes cadeaux à l'Avoir de la boutique"
"Add Gift Card","Ajouter une carte cadeau"
"Gift Card (%1)","Gift Card (%1)"
