ID,Identidade
SKU,"Unidade de Manutenção de Estoque"
"Shopping Cart","Carrinho de compras"
No,Não
Email,E-mail
Yes,Sim
Status,Status
"Save and Continue Edit","Salvar e continuar a editar"
"Store View","Visualização da loja"
Description,Descrição
Website,Website
Rule,Rule
"Start on","Start on"
"End on","End on"
Active,Ativo
N/A,Indisponível
"General Information","Informações gerais"
"Product Attributes","Atributos do produto"
"Add New Rule","Adicionar nova regra"
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","Nova Regra"
"Rule Information","Informação da Regra"
Conditions,Condições
"Rule Name","Nome da Regra"
Inactive,Inativo
"From Date","A Partir da Data"
"To Date","Até a Data Atual"
"Edit Rule","Editar regra"
Daily,Daily
"Assigned to Website","Designado ao site"
"Unknown operator specified.","O operador especificado não é conhecido."
has,tem
"does not have","não tem"
"Product %1","Product %1"
"Wish List","Wish List"
found,encontrado
"not found","não encontrado"
"Email Templates","Modelos de e-mail"
"-- Not Selected --","-- Não selecionado --"
"This rule is assigned to %1 automated reminder rule(s). Deleting this rule will automatically unassign it.","This rule is assigned to %1 automated reminder rule(s). Deleting this rule will automatically unassign it."
"Automated Email Marketing Reminder Rules","Regras de lembrete automático de e-mail de marketing"
"Are you sure you want to match this rule now?","Tem certeza que deseja"
"No more than %1 customers may receive the reminder email after this action.","No more than %1 customers may receive the reminder email after this action."
"Run Now","Executar Agora"
"Email Reminder Rule","Regra de lembrete de e-mail"
"You need to set at least one condition for this rule to work.","You need to set at least one condition for this rule to work."
"Matched At","Correspondido Em"
"Thread Active","Segmento Ativo"
Coupon,Cupom
"Coupon Use Limit","Limite de utilização do cupom"
"Coupon Use Per Customer","Coupon Use Per Customer"
"Emails Sent","Emails Enviados"
"Emails Failed","Erros de e-mail"
"Last Sent","Enviado Pela Última Vez Em"
"Reminder emails may promote a shopping cart price rule with or without a coupon. If a shopping cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.","Reminder emails may promote a shopping cart price rule with or without a coupon. If a shopping cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer."
"Shopping Cart Price Rule","Regra de Preço de Carrinho de Compras"
"Promotion rule this reminder will advertise.","Regra de promoção que este lembrete irá anunciar."
"Repeat Schedule","Repetir Horário"
"Enter the number of days before email reminder rule is triggered if conditions match (comma separate, e.g., ""7, 14"").","Enter the number of days before email reminder rule is triggered if conditions match (comma separate, e.g., ""7, 14"")."
"Select Rule...","Select Rule..."
"Only customers who registered on a store view will receive emails related to that store view.","Only customers who registered on a store view will receive emails related to that store view."
"Default Titles and Description","Títulos e descrição padrão"
"You can find and edit rule label and descriptions, per store view, in email templates.","You can find and edit rule label and descriptions, per store view, in email templates."
"Rule Title for All Store Views","Título da Regra para Todas as Visualizações da Loja"
"Rule Description for All Store Views","Descrição da Regra para Todas as Visualizações da Loja"
"Titles and Descriptions Per Store View","Títulos e Descrições Por Visão de Loja"
"Overrides default titles and descriptions. Note that if email an template is not specified for this store view, the respective variable values will be deleted.","Substitui títulos e descrições padrão. Note que se um modelo de e-mail não é especificado para esta vista da loja, os respectivos valores variáveis ​​serão apagados."
"Emails and Labels","Emails e Etiquetas"
"Matched Customers","Clientes Correspondidos"
"Reminder Rules","Lembrete das Regras"
"Please correct the reminder rule you requested.","Please correct the reminder rule you requested."
"Email Reminders","Email Reminders"
"New Reminder Rule","New Reminder Rule"
"You saved the reminder rule.","You saved the reminder rule."
"We could not save the reminder rule.","We could not save the reminder rule."
"You deleted the reminder rule.","You deleted the reminder rule."
"We could not delete the reminder rule.","We could not delete the reminder rule."
"You matched the reminder rule.","You matched the reminder rule."
"Reminder rule matching error.","Lembrete de regra de erro na correspondência."
"You can create auto-generated coupons using reminder promotion rules.","You can create auto-generated coupons using reminder promotion rules."
"Minute Intervals","Minute Intervals"
Hourly,Hourly
"5 minutes","5 minutes"
"10 minutes","10 minutes"
"15 minutes","15 minutes"
"20 minutes","20 minutes"
"30 minutes","30 minutes"
