"%d Review(s)","%d Recenzie(i)"
"(%s Reviews)","(%s Reviews)"
"(Posted on %s)","(Postata la %s)"
"1 star","1 stea"
"2 stars","2 stele"
"3 stars","3 stele"
"4 stars","4 stele"
"5 stars","5 stele"
"Add Items to Cart","Adaugati obiecte in carut"
"Add to Cart","Adaugati la carut"
"Add to Compare","Adaugati la comparare"
"Add to Wishlist","Adaugati la lista de dorinte"
"Add Your Review","Adaugati recenzia"
"Availability: In stock. Ships within 24hours.","Valabilitate: In stoc. Se livreaza in 24 de ore."
"Availability: Out of stock.","Valabilitate: Nu este in stoc."
"Average Customer Rating","Ratare medie a clientului"
"Average Customer Rating:","Ratare medie a clientului:"
Back,Inapoi
"Back to Main Product Info","Inapoi la Informatia pricipala a produsului"
"Back to My Reviews","Inapoi la recenziile mele"
"Back to Product Reviews","Inapoi la recenzia produsului"
"Be the first to review this product","Fiti primul care recenzioneaza acest produs"
"Buy %s for %s","Cumparati %s pentru <strong>%s</strong>"
"Customer Reviews","Recenziile clientului"
"How do you rate this product?","Cum ratati acest produs?"
"My Product Reviews","Recenziile mele de produs"
"My Recent Reviews","Recenziile mele recente"
Nickname,Porecla
OR,SAU
"Please select one of each of the ratings above","Va rugam selectati una din ratarile de mai sus"
"Product Rating:","Ratarea produsului:"
"Product Review (submitted on %s):","<strong>recenzia produsului</strong> (trimisa la %s):"
"Product Reviews","Recenziile produsului"
Qty,Cantitate
Rating:,Ratare:
Review,Recenzie
"Review by %s","Recenzia lui <em>%s</em>"
"Review Details","Detaliile recenziei"
"Submit Review","Trimiteti recenzie"
"Summary of Your Review","Sumarul recenziei tale"
"Unable to post review. Please try again later.","Nu am putut afisa recenzia. Va rugam incercati din nou mai tirziu."
"View All Reviews","Vedeti toate recenziile"
"View Details","Vedeti detaliile"
"Write Your Own Review","Scrieti propria recenzie"
"You have submitted no reviews.","Nu ati trimis recenzii."
"You're reviewing: %s","Recenzionati: <span class=""normal-weight"">%s</span>"
"Your Rating:","Ratarea ta:"
"Your Review (submitted on %s):","<strong>Recenzia ta</strong> (trimisa la %s):"
"Your review has been accepted for moderation","Recenzia a fost acceptata pentru moderare"
