"City","Город"
"Current customer password is empty","Текущий пароль покупателя пуст"
"A new password was sent","Новый пароль отправлен"
"Cannot delete customer","Не могу удалить покупателя"
"Invalid region for country specified in the address","Неправильный регион для страны указанной в адресе"
"Telephone","Телефон"
"State/Province","Регион"
"First Name","Имя"
"Account information was successfully saved","Информация об учётной записи успешно сохранена"
"Invalid current password","Неправильный текущий пароль"
"Error while updating the password","Ошибка при обновлении пароля"
"Wrong region id by selected country","Неправильный id код региона для выбранной страны"
"Email","Email адрес"
"This email address was not found in our records","Данный email адрес не найден"
"My Account","Мои данные"
"Fax","Факс"
"Payment Method","Способ оплаты"
"Customer email already exists","Email адрес покупателя уже существует"
"Edit Address","Редактировать адрес"
"Company","Компания"
"Created From","Создано"
"Invalid customer ID","Неправильный ID код покупателя"
"Customer group already exists.","Группа покупателей уже существует."
"Zip/Postal Code","Почтовый индекс"
"You have not set a primary billing address.","Вы не установили основной адрес плательщика."
"You are currently subscribed to our newsletter","Вы подписались на нашу рассылку"
"New passwords do not match","Новый пароль не совпадает"
"There was an error while deleting the address","Ошибка при удалении адреса"
"Error during saving customer","Ошибка при сохранении покупателя"
"Error during updating the password","Ошибка при обновлении пароля"
"Newsletter Subscriptions","Подписчики на рассылку"
"Address Book","Адресная кнгиа"
"Create New Customer Account","Создать новую учётную запись покупателя"
"Password was successfully updated","Пароль успешно обновлён"
"Admin","Админ"
"Country","Страна"
"Error during saving customer address","Ошибка при сохранении адреса покупателя"
"The address was successfully saved","Адрес успешно сохранён"
"Change Account Password","Изменить пароль учётной записи"
"My Balance","Мой баланс"
"The address was successfully deleted","Адрес успешно удалён"
"You have not set a primary shipping address.","Вы не установили основнй адрес доставки."
"Invalid login or password","Неправильный логин или пароль"
"Login","Логин"
"Balance","Баланс"
"Thank you for registering with %s","Спасибо за регистрацию на %s"
"Add New Address","Добавить новый адрес"
"The address does not belong to this customer","Адрес не принадлежит данному покупателю"
"Create In","Создать"
"My Tags","Мои тэги"
"Street Address","Адрес"
"Error during customer deletion","Ошибка при удалении покупателя"
"Last Name","Фамилия"
"Customer Group","Группа покупателей"
"You are currently not subscribed to our newsletter","Вы не подписаны на нашу рассылку"
"Invalid customer ID in the address data","Неправильный ID код покупателя в адресной книге"
"Create Account","Регистрация"
"Use as My Primary %s Address","Использовать как основнй мой <strong>%s</strong> адрес"
"My Orders","Мои заказы"
"View Order","Смотреть заказ"
"You're now Logged Out","Вы успешно вышли"
"Ext. Price","Цена"
"Back to Login","Вернуться на страницу входа"
"Edit Newsletters","Редактировать рассылки"
"Update","Обновить"
"Billing Information","Информация о плательщике"
"Last Viewed Items","Последние просмотренные товары"
"Sign Up for Newsletter","Подписаться на рассылку"
"Edit Newsletter Subscription","Редактировать подписку на рассылку"
"Address Information","Информация об адресе"
"Edit Address Entry","Редактировать адрес"
"Edit Account Information","Редактировать информацию учётной записи"
"Additional Address Entries","Дополнительные адреса"
"You have no additional entries in your address book.","У Вас нет дополнительных записей в адресной книге."
"Forgot Your Password?","Забыли пароль?"
"My Wishlist","Мои отмеченные товары"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Создавая учётную запись в нашем магазине, Вы сможете быстрее оформлять заказ, хранить разные адреса доставки, следить за исполнением своего заказа и т.д."
"You have placed no products yet.","Вы ещё не оформляли заказы."
"Newsletters","Рассылки"
"Your account balance is: %s","Ваш баланс: <strong>%s</strong>"
"You have no additional address entries in your address book.","У Вас нет дополнительных записей в адресной книге."
"Registered Customers","Зарегистрированные покупатели"
"Default Billing Address","Адрес плательщика по умолчанию"
"Confirm Password","Подтвердить пароль"
"New Address","Новый адрес"
"Grand Total: %s","Всего: <strong>%s</strong>"
"Use as my default billing address","Использовать по умолчанию мой адрес <strong>плательщика</strong>"
"Are you sure you want to delete this address?","Вы действительно хотите удалить данный адрес?"
"Save","Сохранить"
"Current Password","Текущий пароль"
"You are currently subscribed to 'General Subscription'.","На данный момент Вы подписаны на 'Основную рассылку'."
"Edit Personal Information","Редактировать персональную информацию"
"Continue Shopping","Вернуться в магазин"
"Manage Addresses","Управлять адресами"
"View Order List","Смотреть список заказов"
"Change Billing Address","Изменить адрес плательщика"
"Items Order","Заказанные товары"
"Primary Shipping Address","Основной адрес доставки"
"* Required Fields","* Обязательные поля"
"You have no primary entries in your address book.","У Вас не указан основной адрес в адресной книге."
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity. Select a link below to view.","На главной странице Вашей учётной записи Вы можете смотреть свою статистику. Нажмите ссылку ниже для просмотра."
"Default Shipping Address","Адрес доставки по умолчанию"
"New Customers","Новые покупатели"
"Save Address","Сохранить адрес"
"Use as my default shipping address","Использовать по умолчанию мой адрес <strong>доставки</strong>"
"You are currently subscribed to our newsletter.","Вы подписаны на нашу рассылку."
"Change Password","Изменить пароль"
"You have placed no orders yet.","Вы ещё не оформляли заказы."
"Account Information","Информация об учётной записи"
"Back","Вернуться"
"Save Password","Сохранить пароль"
"Please enter your email below and we\'ll send you a new password.","Пожалуйста, укажите ниже email адрес и мы отправим Вам новый пароль."
"Sign up for our newsletter","Подписаться на нашу рассылку"
"Order #%s (%s)","Заказ номер %s (%s)"
"Contact Information","Контактная информация"
"Primary Billing Address","Основной адрес плательщика"
"Order List...","Список заказов..."
"Status","Статус"
"Order #","Заказ номер"
"My Reviews","Мои отзывы"
"New Password","Новый пароль"
"Date","Дата"
"Login or Create an Account","Войти или зарегистрироваться"
"Shipping Method","Способ доставки"
"Confirm New Password","Подтвердить новый пароль"
"Shipping Information","Информация о доставке"
"You are currently subscribed to no newsletters.","Вы ещё не подписались на рассылки."
"If you have an account with us, please log in.","Если Вы уже зарегистрированы, пожалуйста, войди в магазин."
"General Subscription","Основная рассылка"
"Last 5 Orders","Последние 5 заказов"
"Login Information","Информация для входа"
"New Address Entry","Новый адрес"
"Qty","Количество"
"Shoppping Cart","Корзина"
"Hello, %s!","Приветствуем, %s!"
"Personal Information","Персональная информация"
"Submit","Продолжить"
"Default Addresses","Адрес по умолчанию"
"Details","Подробнее"
"Please select region, state or province","Пожалуйста, выберите регион"
"Product","Товар"
"Delete Address","Удалить адрес"
"Price","Цена"
"This is My Primary %s Address","Это мой основной адрес <strong>%s</strong>"
"Street Address 2","Адрес 2"
"Address","Адрес"
"To Cart","В корзину"
"Password","Пароль"
"Wishlist","Отмеченные товары"
"Go to Address Book","Перейти в адресную книгу"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Вы успешно вышли из магазина и будете перенаправлены на главную страницу через 5 секунд."
"Email Address","Email адрес"
"Remove","Удалить"
"You have no default billing address in your address book.","У Вас нет адреса плательщика по умолчанию в Вашей адресной книге."
"Create an Account","Регистрация"
"Total","Всего"
"Addresses","Адреса"
"Subscribe","Подписаться"
"You have no default shipping address in your address book.","У Вас нет адреса доставки по умолчанию в Вашей адресной книге."
"Change Shipping Address","Изменить адрес доставки"
"Retrieve your password here","Получите Ваш пароль здесь"
"Newsletter","Рассылка"
"Save Subscription","Сохранить подписку"
