"503 Service Unavailable","503 dienst onbeschikbaar"
"200 OK","200 OK"
"Website Closed","Website gesloten"
"Private Sales: Login Only","Privé verkoop: allleen inloggen"
"Private Sales: Login and Register","Privé verkoop: login en registreer"
"To login form (302 Found)","Naar login-formulier (302 gevonden)"
"To landing page (302 Found)","Naar landingspagina (302 gevonden)"
"Startup Page","Startup Page"
"Landing Page","Landing Page"
"Access Restriction","Access Restriction"
"Restriction Mode","Restriction Mode"
"Applicable only if restriction mode is set to ""Private Sales"".","Applicable only if restriction mode is set to ""Private Sales""."
"HTTP Response","HTTP Response"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML."
