"503 Service Unavailable","503 Serviço Indisponível"
"200 OK","200 OK"
"Website Closed","Website Fechado"
"Private Sales: Login Only","Vendas Privadas: Somente Login"
"Private Sales: Login and Register","Vendas Privadas: Login e Registro"
"To login form (302 Found)","Para formulário de login (302 Encontrado)"
"To landing page (302 Found)","Para página de chegada (302 Encontrado)"
"Startup Page","Startup Page"
"Landing Page","Landing Page"
"Access Restriction","Access Restriction"
"Restriction Mode","Restriction Mode"
"Applicable only if restriction mode is set to ""Private Sales"".","Applicable only if restriction mode is set to ""Private Sales""."
"HTTP Response","HTTP Response"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML."
