Quantity,Anzahl
No,Nein
Action,Action
Delete,Löschen
Yes,Ja
From,Von
Website,Website
"All Websites","Alle Websites"
N/A,entfällt
Ordered,Bestellt
Invoiced,Berechnet
"In stock","In stock"
"Out of stock","Out of stock"
Availability:,Availability:
"Use Config Settings","Konfigurationseinstellungen verwenden"
Minimum,Minimum
Maximum,Maximum
"Gift Card Information","Geschenkkarte Information"
Virtual,Virtuell
Physical,Physikalisch
Combined,Kombiniert
"Add Amount","Betrag hinzufügen"
"Gift Card Type","Geschenkkarte Typ"
"Gift Card Sender","Geschenkkarte Absender"
"Gift Card Recipient","Geschenkkarte Empfänger"
"Gift Card Message","Geschenkkarte Nachricht"
"Gift Card Lifetime","Gültigkeitsdauer der Geschenkkarte"
"Gift Card Is Redeemable","Geschenkkarte ist einlösbar"
"We cannot create this gift card.","We cannot create this gift card."
"Gift Card Accounts","Geschenkkarte Konten"
"Duplicate amount found.","Duplicate amount found."
"Something went wrong  preparing the gift card.","Something went wrong  preparing the gift card."
"Please specify a gift card amount.","Please specify a gift card amount."
"Please specify all the required information.","Bitte alle erforderlichen Informationen angeben."
"Gift Card max amount is %1","Gift Card max amount is %1"
"Gift Card min amount is %1","Gift Card min amount is %1"
"Please specify a recipient name.","Please specify a recipient name."
"Please specify a sender name.","Please specify a sender name."
"Please specify a recipient email.","Please specify a recipient email."
"Please specify a sender email.","Please specify a sender email."
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>."
Amount,Betrag
"Choose an Amount...","Wählen Sie einen Betrag aus..."
"Other Amount...","Anderer Betrag…"
"Amount in %1","Amount in %1"
"Sender Name","Absender Name"
"Sender Email","Absender E-Mail"
"Recipient Name","Empfänger Name"
"Recipient Email","Empfänger E-Mail"
Message,Nachricht
"Maximum length of the message is %1 characters.","Maximum length of the message is %1 characters."
"Messaging and Lifetime","Messaging and Lifetime"
"Treat Balance as Store Credit","Treat Balance as Store Credit"
"Lifetime (days)","Gültigkeitsdauer (in Tagen)"
"Allow Message","Nachricht zulassen"
"Email Template","E-Mail Vorlage"
"Delete Amount","Betrag löschen"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maximum: %1"
